TBESG - Translators Brief lexicon of Extended Strongs for Greek - STEPBible.org CC BY
See also:
TFLSJ - Translators Formatted full LSJ Bible lexicon 0-5624 - STEPBible.org CC BY	
TFLSJ - Translators Formatted full LSJ Bible lexicon extra - STEPBible.org CC BY
=======================================================
Lexicons for the tagged texts used by STEPBible, based on BHS for OT and LSJ for NT, backwardly compatible for any tagging based on Strong numbers. 
Extended Strongs for Greek is backwardly compatible with original Strong and NASB, and extended to include all NT variants and LXX + variants.
The Brief lexicon is based on the Abbott-Smith definitions, and is edited to conform with the extended Strongs. For a few words where Abbott-Smith lacks a definition, one is supplied  from MiddleLiddel (MD) or STEPBible scholars
The Full lexicon is edited from the Full LSJ by Tyndale House scholars, formatted to make it easy to read, with expansion of abbreviations and revealing examples from Greek literature on hover over dates of the earliest source (added by Tyndale House)

	==============================================================												
	Data created by www.STEPBible.org based on work at  Tyndale House Cambridge (CC BY 4.0)												
	==============================================================												
	This licence allows you to:												
	* Include any part of this data in software or publications without requesting permission 												
	* Download the data and reformat it for your application, without changing the data												
	* Send any proposed corrections to STEPBibleATGmail.com. to be verified 												
	  (You MAY make changes yourself, but you should include a note of changes that can be viewed by those who use your new data)												
	* Refer others to github.com/STEPBible as the source of the data. Please do not redistribute it yourself. 												
	  (Updates or corrections are easier to implement when the data is distributed from a single source)												
	* We'd love to hear about your project when you make it available. Email us at STEPBibleATGmail.com.												
	==============================================================												



Fields: 
=====

* EStrong# = Extended Strong's Numbers: 
 - G0001 - G5624 Strongs numbers from original set made by Strong for Greek behind the KJV  
   (G3203-G3302 which aren't used for some reason)
 - G5627 - G5799 = Greek morphology codes  (these numbers aren't used in this lexicon) 
 - G5800 - G5893 = Greek Synonyms - see http://studybible.info/strongs/G5800  (these numbers aren't used in this lexicon) 
 - G6000 - G6090 = Extra Strongs Numbers in NASB mainly for variants not known to Strong. (they remain the same so it is backward-compatible with NASB) 
 - G6100 - G9979 = Extra Greek from Apostolic Bible Project mainly for LXX words not found in NT (including Greek names that don't occur in the Hebrew) 
 - G6091 - G6099, G9980 - G9999 = Extra Greek for variants which are not included in NASB or Apostolic Bible  
 - G10000 - 19999 = Greek equivalent of Strongs Hebrew numbers for names and transliterated words eg  Abagtha (H0005) = G10005. When there is a NT equivalent, this is the STEP_LexicalTag
 - G20000 - G20199 = Words where  the Full LSJ entry refers to the LXX, but they are not referred to in the AB tagging because they only occur in non-Protestant canons or in MSS other than Vaticanus (used by AB)

Strong numbers	Three sets of numbers are included: eStrong, dStrong & uStrong. A lexicon or tagging system will normally use only one set, depending on its purpose, though it may be useful to keep both dStrong & uStrong. 
	Any record can be deleted if it does not have  a number for the system that is to be used. Each system has different advantages: 
eStrong#	This is the standard Extended Strongs which conforms with the subdivisions of words in BDB (Brown Driver Brigg's lexicon, largely followed by later lexicons). This was done by OS (OpenScriptures.org)
dStrong	This is STEPBible's Disambiguated Strongs which has separate numbers when a  name is used for different people or places, and when a word has significantly different sub-meanings. See TinyURL.com/DisambiguatedStrongs. 
uStrong	This is STEPBible's Unified Strongs  which has a single number for an individual's various  names, and a single number for a word that has different forms or spellings or that has a Hebrew and Aramaic versions. 

For example: 	Strong used G2264 for all three people in the NT named Herod (the Great, Anitipas and Agrippa I), and a different number for "Herodian" which describes Herod Anitipas. 
	eStrong doesn't divide up any names in the NT (like it does in the OT) because eStrong was created to map Strongs to the Hebrew lexicon BDB. 
	dStrong has a unique number for each person: G2264G, G2264H, G2264I. As in the OT, letters start at G when there is no "a" or "b" etc in eStrongs (which never happens in Greek) 
	uStrong has only one unique number for each individual, so a search for that number finds all the places where that person is mentioned however their name is spelled. 
... see more at:	TinyURL.com/STEP-Disambiguated



$========== PERSON(s)																																					
Herod@Mat.2.1=G2264G	King Herod the Great living at the time of the New Testament	=+			Archelaus@Mat.2.22, Herod@Mat.14.1, Philip@Mat.14.3, Philip@Luk.3.1	>	#A man living at the time of the New Testament, first mentioned at Mat.2.1; <br> father of: Ethnarch Herod Archelaus (G0745), Herod Antipas I (G2264H), Herod Philip I (G5376H), Herod Philip II (G5376I)																														
- Named	Herod@Mat.2.1	G2264G«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.2.1;Mat.2.3;Mat.2.7;Mat.2.12;Mat.2.13;Mat.2.15;Mat.2.16;Mat.2.19;Mat.2.22;Luk.1.5;Act.23.35	Mat.2.1; Mat.2.3; Mat.2.7; Mat.2.12; Mat.2.13; Mat.2.15; Mat.2.16; Mat.2.19; Mat.2.22; Luk.1.5; Act.23.35;																																
$========== PERSON(s)																																					
Herod@Mat.14.1=G2264H	Tetrarch Herod Antipas living at the time of the New Testament	Herod@Mat.2.1 +	Archelaus@Mat.2.22, Philip@Mat.14.3, Philip@Luk.3.1	Herodias@Mat.14.3		>	#Tetrarch Herod Antipas I living at the time of the New Testament, first mentioned at Mat.14.1; <br> son of: Herod 'the Great' (G2264G); <br> brother of: Ethnarch Herod Archelaus (G0745), Herod Philip I (G5376H) and Herod Philip II (G5376I); married to Herodias (G2266G)																														
- Named	Herod@Mat.14.1	G2264H«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.14.1;Mat.14.3;Mat.14.6;Mat.14.6;Mar.6.14;Mar.6.16;Mar.6.17;Mar.6.18;Mar.6.20;Mar.6.21;Mar.6.22;Mar.8.15;Luk.3.1;Luk.3.19;Luk.3.19;Luk.8.3;Luk.9.7;Luk.9.9;Luk.13.31;Luk.23.7;Luk.23.7;Luk.23.8;Luk.23.11;Luk.23.12;Luk.23.15;Act.4.27;Act.13.1	Mat.14.1; Mat.14.3; Mat.14.6a; Mat.14.6b; Mrk.6.14; Mrk.6.16; Mrk.6.17; Mrk.6.18; Mrk.6.20; Mrk.6.21; Mrk.6.22; Mrk.8.15; Luk.3.1; Luk.3.19a; Luk.3.19b; Luk.8.3; Luk.9.7; Luk.9.9; Luk.13.31; Luk.23.7a; Luk.23.7b; Luk.23.8; Luk.23.11; Luk.23.12; Luk.23.15; Act.4.27; Act.13.1;																																
- Group	Herod@Mat.14.1	G2265«G2265=Ἡρωδιανοί	Herodian	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herodian*|reference=Mat.22.16;Mar.3.6;Mar.12.13	Mat.22.16; Mrk.3.6; Mrk.12.13;																																
$========== PERSON(s)																																					
Herod@Act.12.1=G2264I	Tetrarch & King Herod Agrippa I living at the time of the New Testament	=+	Herodias@Mat.14.3		Agrippa@Act.25.13	>	#Tetrarch & King Herod Agrippa I living at the time of the New Testament, first mentioned at Act.12.1; <BR> brother of: Herodias (G2266G); father of: Tetrarch Agrippa II (G0067)																														
- Named	Herod@Act.12.1	G2264I«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Act.12.1;Act.12.6;Act.12.11;Act.12.19;Act.12.20;Act.12.21	Act.12.1; Act.12.6; Act.12.11; Act.12.19; Act.12.20; Act.12.21;																																



* Gloss = a meaning in one word or as few as possible (by Tyndale scholars)

* Greek = unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing. 

* Morph = simple gramatical value of the main word represented as Language:Type-Gender-Extra. 
Language:Type-Gender-Extra. 
Language is A=Aramaic, H=Hebrew, G=Greek and N=Name (which is not language specific). 
Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative, Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb. 
Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)

* Meaning = lexical entry. The Brief lexicon uses Abbot-Smith or MiddleLiddel. The LJS lexicon uses the Full LSJ formatted by Tyndale House, Cambridge. Those without attribution have been added by STEPBible. 
(AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
(ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)

Full LSJ - Liddell-Scott-Jones -  from Perseus, with additional features and corrections by Tyndale House, Cambridge:
 - most abbreviations have been expanded, usually in accordance with the introductions to the lexicons but occasionally made clearer. 
 - dates have been added to authors by Tyndale House, using standard reference works. 
 - coding is added to hide bibliographic data under a link stating the earliest date included in that data. (Note, not all devices work well with tooltips, so consider implementing a clickable option such as http://jsfiddle.net/xaAN3/) 


eStrong	dStrong	uStrong	Greek	Transliteration	Morph	Gloss	Abbott-Smith lexicon (AS), with gaps occationally filled from edited versions of  Middle LSJ 
===============================================================================================================================

G0001	G0001G =	G0001G	α, Ἀλφα	Alpha	G:N-LI	Alpha	 <b>Α, α, ἄλφα</b> (which see), τό, indecl., <BR /> <b>alpha</b>, the first letter of the Greek alphabet. As a numeral, ά = 1, α = 1000. As a prefix, it appears to have at least two and perhaps three distinct senses: <BR />__1. ἀ- (before a vowel, ἀν-) <b>negative</b>, as in ἄ-γνωστος, ἄ-δικος. <BR /> __2. ἀ-, ἁ- <b>copulative</b>, indicating community and fellowship, as in ἁ-πλοῦς, ἀ-κολουθέω, ἀ-δελφός. <BR /> __3. An <b>intensive</b> force (LS, s. α), as in ἀ-τενίζω is sometimes assumed (but see Boisacq, see word).<BR /> (AS)
G0001	G0001H =	G0001H	ἆ	a	G:INJ	ah!	 <b>ἔα</b>, <BR /><i>interj.</i>, <BR />expressing surprise, indignation, fear (in cl. chiefly in poët.), <b>ah! ha!</b>: <ref='Luk.4.34.'>Luk.4:34.</ref>† <BR /> (AS)
G0002	G0002 = the Greek of	H0175	Ἀαρών	Aarōn	N:N-M-P	Aaron	 <b>Ἀαρών</b> (Heb. אַהֲרוֹן), indecl. (in FlJ, -ῶνος), <BR /> <b>Aaron</b> (<ref='Exo.4.14'>Exo.4:14</ref>, al.): <ref='Luk.1.5'>Luk.1:5</ref>, <ref='Act.7.40'>Act.7:40</ref>, <ref='Heb.5.4; 7.11; 9.4'>Heb.5:4, 7:11, 9:4</ref>.† <BR /> (AS)
G0003	G0003 =	G0003	Ἀβαδδών	Abaddōn	N:N--T	Abaddon	 <b>Ἀβαδδών</b> (Heb. אֲבַדּוֹן, <b>destruction</b>; LXX, ἀπώλεια, only in Wisdom Lit., of the place of the ruined dead: <ref='Job.26.6; 28.22; 31.12'>Job.26:6, 28:22, 31:12</ref>, <ref='Psa.88.12'>Psa.88:12</ref>, <ref='Pro.15.11'>Pro.15:11</ref>*), indecl.; <BR /> in NT, <b>Abaddon</b>, the angel of the Abyss: <ref='Rev.9.11.'>Rev.9:11.</ref>†<BR /> (AS)
G0004	G0004 =	G0004	ἀβαρής	abarēs	G:A	not burdensome	 <b>αβαρής</b>, -ές <BR /> (βαρός), <BR /><b>without weight</b>; metaphorically (MM, <i>VGT</i>, see word) <b>not burdensome</b>: <ref='2Co.11.9.'>2Co.11:9.</ref>†<BR /> (AS)
G0005	G0005 = a Name of	H3068G	ἀββά	abba	G:N-M	Abba	 <b>Ἀββά</b> (T, -ᾶ), indecl. (Aram, אַבָּא, emphatic form of אַב = Heb. אָב, <b>father</b>), <BR /> used in the phrase Ἀ. ὁ παήρ, <b>Abba, Father</b> (see Swete on Mk, I.with): <ref='Mrk.14.36'>Mrk.14:36</ref>, <ref='Rom.8.15'>Rom.8:15</ref>, <ref='Gal.4.6'>Gal.4:6</ref>.† <BR /> (AS)
G0006	G0006 = the Greek of	H1893	Ἄβελ	Abel	N:N-M-P	Abel	 <b>Ἄβελ</b>, (WH, Ἅ-), ὁ, indecl. <BR /> (הֶבֶל), <BR /><b>Abel</b> (<ref='Gen.4.2-10'>Gen.4:2-10</ref>): <ref='Heb.11.4; 12.24'>Heb.11:4, 12:24</ref>; αἵμα Ἄ., <ref='Mat.23.35'>Mat.23:35</ref>, <ref='Luk.11.51'>Luk.11:51</ref>.† <BR /> (AS)
G0007	G0007G = the Greek of	H0029I	Ἀβιά	Abia	N:N-M-P	Abijah	 <b>Ἀβιά</b> (Heb. אֲבִיָּה, אֲבִיָּהוּ), ὁ, indecl. (in FlJ, Ἀβίας, -α), <BR /> <b>Abia, Abijah</b>. <BR />__1. Son of Rehoboam (<ref='3Ki.14.1'>3Ki.14:1</ref>): <ref='Mat.1.7'>Mat.1:7</ref>. <BR /> __2. A priest of the line of Eleazar (<ref='1Ch.24.3, 10'>1Ch.24:3, 10</ref>): <ref='Luk.1.5'>Luk.1:5</ref>. <BR /> † (AS)
G0007	G0007H = the Greek of	H0029L	Ἀβιά	Abia	N:N-M-P	Abijah	 <b>Ἀβιά</b> (Heb. אֲבִיָּה, אֲבִיָּהוּ), ὁ, indecl. (in FlJ, Ἀβίας, -α), <BR /> <b>Abia, Abijah</b>. <BR />__1. Son of Rehoboam (<ref='3Ki.14.1'>3Ki.14:1</ref>): <ref='Mat.1.7'>Mat.1:7</ref>. <BR /> __2. A priest of the line of Eleazar (<ref='1Ch.24.3, 10'>1Ch.24:3, 10</ref>): <ref='Luk.1.5'>Luk.1:5</ref>. <BR /> † (AS)
G0008	G0008 = the Greek of	H0054	Ἀβιαθάρ	Abiathar	N:N-M-P	Abiathar	 <b>Ἀβιάθαρ</b>, ὁ, indecl. (Heb. אֶבְיָתָר), <BR /> <b>Abiathar</b> (<ref='1Ki.21.1'>1Ki.21:1</ref>): <ref='Mrk.2.26'>Mrk.2:26</ref>.†<BR /> (AS)
G0009	G0009 =	G0009	Ἀβιληνή	Abilēnē	N:N-F-L	Abilene	 <b>Ἀβειληνή</b> (T, Rec. Ἀβι-), -ῆς, ἡ, (sc. χώρα), <BR /> <b>Abilene</b>, <b>a district in the Anti-Lebanon</b>: <ref='Luk.3.1.'>Luk.3:1.</ref>†<BR /> (AS)
G0010	G0010 =	G0010	Ἀβιούδ	Abioud	N:N-M-P	Abiud	 <b>Ἀβιούδ</b>, ὁ, indecl. (Heb. אֲבִיָּהוּד), <BR /> <b>Abiud, Abihud</b>: <ref='Mat.1.13.'>Mat.1:13.</ref>†<BR /> (AS)
G0011	G0011 = the Greek of	H0085	Ἀβραάμ	Abraam	N:N-M-P	Abraham	 <b>Ἀβραάμ</b> (Heb. אַבְרָהָם), ὁ, indecl. (in FlJ, Ἄβραμος, -ου; MM, <i>VGT</i>, see word), <BR /> <b>Abraham</b> (<ref='Gen.17.5'>Gen.17:5</ref> al.): <ref='Mat.1.1'>Mat.1:1</ref>, 2 al.<BR /> (AS)
G0012	G0012 =	G0012	ἄβυσσος	abussos	G:N-F	abyss	 <b>ἄ-βυσσος</b>, -ον (Ion. βυσσός = βυθός), <BR /> __1. in cl., <b>boundless, bottomless</b> (e.g. ἄ. πέλαγος, ἄ. πλοῦτος Æsch.).<BR /> __2. [In LXX (for תְּהוֹם, <ref='Gen.1.2'>Gen.1:2</ref>, al.; exc. <ref='Isa.44.27'>Isa.44:27</ref>, <ref='Job.41.22'>Job.41:22</ref> for צוּלָה, מְצוּלָה, <ref='Job.36.16'>Job.36:16</ref> for רַחַב) and] NT, as subst. (MM, <i>VGT</i>, see word), ἡ ἄ. (sc. χώρα), <b>the abyss</b>; <BR />__(a) of the sea (<ref='Gen.1.2'>Gen.1:2</ref>); <BR /> __(b) <b>of the underworld, as the abode of the dead</b>: <ref='Rom.10.7'>Rom.10:7</ref> (a paraphrase of <ref='Deu.30.13'>Deu.30:13</ref> LXX); as the abode of demons, <ref='Luk.8.31'>Luk.8:31</ref>, <ref='Rev.9.1, 2, 11; 11.7; 17.8; 20.1, 3'>Rev.9:1, 2, 11, 11:7, 17:8, 20:1, 3</ref> (Cremer, 2). <BR /> † (AS)
G0013	G0013 =	G0013	Ἄγαβος	Agabos	N:N-M-P	Agabus	 <b>Ἄγαβος</b>, -ου, ὁ<BR /> <b>Agabus</b>: <ref='Act.11.28; 21.10'>Act.11:28, 21:10</ref>.†<BR /> (AS)
G0014	G0014 =	G0014	ἀγαθοεργέω	agathoergeō	G:V	to do good	 <b>ἀγαθοεργέω</b>, -ῶ, <BR /> <b>to do good, show kindness</b>: <ref='1Ti.6.18'>1 Ti 6:18</ref> (Cremer, 8).†<BR /> <b>ἀγαθουργέω</b>, -ῶ, contracted form (rare, see WH, <i>App</i>., 145) of ἀγαθοερ- (which see), <BR /> <b>to do good</b>: <ref='Act.14.17.'>Act.14:17.</ref>†<BR /> (AS)
G0015	G0015 =	G0015	ἀγαθοποιέω	agathopoieō	G:V	to do good	 <b>ἀγαθὀ-ποιέω</b>, -ῶ (= cl. ἀγαθὸν ποιεῖν, εὐεργετεῖν), <BR /> [in LXX: <ref='Num.10.32'>Num.10:32</ref>, <ref='Jdg.17.13'>Jdg.17:13</ref> A, <ref='Zep.1.12'>Zep.1:12</ref> (יטב hi.), <ref='Tob.12.13'>Tob.12:13</ref> B, <ref='1Ma.11.33'>1Ma.11:33</ref>, <ref='2Ma.1.2'>2Ma.1:2</ref> * ;] <BR /><b>to do good</b>; <BR />__(a) univ.: <ref='1Pe.2.15, 20; 3.6, 17, 3'>1Pe.2:15, 20, 3:6, 17, 3</ref>Jo.11; <BR /> __(b) <b>for another's benefit</b>: <ref='Mrk.3.4'>Mrk.3:4</ref> (T, ἀγαθὸν ποιῆσαι), <ref='Luk.6.9'>Luk.6:9;</ref> <BR /> __(with) accusative of person(s), <ref='Luk.6.33, 35'>Luk.6:33, 35</ref> (Cremer, 8). <BR /> † (AS)
